https://iss.moex.com
/iss/engines/stock/markets/bonds/securities.json

SECID	Код инструмента	Идентификатор финансового инструмента	1	0	0	null	0	0	string	null	0
SHORTNAME	Кратк. наим.	Краткое наименование ценной бумаги
PREVPRICE	Последняя цена пред. дня	Цена последней сделки пред. дня, % к номиналу
COUPONVALUE	Сумма купона	Сумма купона, в валюте номинала
NEXTCOUPON	Дата окончания купона	Дата окончания купона
ACCRUEDINT	НКД	НКД, в валюте расчетов
STATUS	Статус	Статус
MATDATE	Дата погашения	Дата погашения, дд.мм.гг
COUPONPERCENT	Ставка купона, %	Ставка купона, %
COUPONPERIOD	Длительность купона	Длительность купона
ISSUESIZE	Объем выпуска, штук	Объем выпуска, штук
ISSUESIZEPLACED	Объем в обращении	Количество ценных бумаг в обращении
LOTVALUE	Номинал лота	Номинальная стоимость лота, в валюте номинала
OFFERDATE	Дата оферты	Дата Оферты	
